station,date,visibility,wd,ws,rh,tempc,
OKBK,1/1/17 0:00,6.21,340,10.35,62.92,15,
OKBK,1/1/17 1:00,6.21,240,13.8,62.92,15,
OKBK,1/1/17 2:00,6.21,350,11.5,58.77,15,
OKBK,1/1/17 3:00,6.21,340,12.65,58.52,14,
OKBK,1/1/17 4:00,4.35,330,10.35,58.52,14,
OKBK,1/1/17 5:00,4.35,340,11.5,54.6,14,
OKBK,1/1/17 6:00,6.21,340,13.8,38.85,16,
OKBK,1/1/17 7:00,6.21,350,12.65,36.45,17,
OKBK,1/1/17 8:00,6.21,340,10.35,34.51,19,
OKBK,1/1/17 9:00,6.21,350,16.1,34.8,20,
OKBK,1/1/17 10:00,4.97,350,18.4,35.09,21,
OKBK,1/1/17 11:00,4.35,360,16.1,32.72,21,
OKBK,1/1/17 12:00,4.97,350,14.95,28.68,22,
OKBK,1/1/17 13:00,4.97,350,13.8,30.49,21,
OKBK,1/1/17 14:00,4.35,360,13.8,34.8,20,
OKBK,1/1/17 15:00,4.97,360,16.1,39.72,19,
OKBK,1/1/17 16:00,4.97,350,12.65,45.04,17,
OKBK,1/1/17 17:00,4.97,350,13.8,45.04,17,
OKBK,1/1/17 18:00,4.97,350,14.95,51.45,16,
OKBK,1/1/17 19:00,6.21,340,12.65,54.86,15,
OKBK,1/1/17 20:00,6.21,340,12.65,54.86,15,
OKBK,1/1/17 21:00,6.21,340,13.8,62.69,14,
OKBK,1/1/17 22:00,6.21,340,13.8,58.52,14,
OKBK,1/1/17 23:00,6.21,340,16.1,58.52,14,
OKBK,1/2/17 0:00,6.21,340,12.65,62.46,13,
OKBK,1/2/17 1:00,6.21,320,10.35,66.7,12,
OKBK,1/2/17 2:00,6.21,330,8.05,71.45,12,
OKBK,1/2/17 3:00,4.35,330,9.2,71.45,12,
OKBK,1/2/17 4:00,4.35,320,10.35,66.7,12,
OKBK,1/2/17 5:00,4.35,330,10.35,62.46,13,
OKBK,1/2/17 6:00,4.35,340,13.8,62.69,14,
OKBK,1/2/17 7:00,4.35,340,14.95,62.92,15,
OKBK,1/2/17 8:00,4.97,340,11.5,51.72,17,
OKBK,1/2/17 9:00,4.97,340,12.65,45.6,19,
OKBK,1/2/17 10:00,6.21,340,11.5,40.29,21,
OKBK,1/2/17 11:00,6.21,330,10.35,37.89,22,
OKBK,1/2/17 12:00,6.21,340,9.2,35.37,22,
OKBK,1/2/17 13:00,6.21,330,9.2,35.37,22,
OKBK,1/2/17 14:00,6.21,330,5.75,37.61,21,
OKBK,1/2/17 15:00,6.21,300,3.45,45.32,18,
OKBK,1/2/17 16:00,6.21,290,5.75,51.45,16,
OKBK,1/2/17 17:00,4.35,320,4.6,54.86,15,
OKBK,1/2/17 18:00,4.97,340,10.35,48.55,18,
OKBK,1/2/17 19:00,4.97,350,13.8,51.45,16,
OKBK,1/2/17 20:00,6.21,350,11.5,51.45,16,
OKBK,1/2/17 21:00,6.21,350,11.5,54.86,15,
OKBK,1/2/17 22:00,6.21,350,9.2,58.52,14,
OKBK,1/2/17 23:00,6.21,340,17.25,58.52,14,
OKBK,1/3/17 0:00,6.21,340,13.8,62.46,13,
OKBK,1/3/17 1:00,6.21,340,12.65,58.27,13,
OKBK,1/3/17 2:00,6.21,340,11.5,58.27,13,
OKBK,1/3/17 3:00,6.21,350,12.65,62.23,12,
OKBK,1/3/17 4:00,6.21,350,10.35,58.02,12,
OKBK,1/3/17 5:00,4.97,340,11.5,54.34,13,
OKBK,1/3/17 6:00,6.21,330,9.2,44.19,14,
OKBK,1/3/17 7:00,6.21,340,12.65,38.56,15,
OKBK,1/3/17 8:00,6.21,340,13.8,31.56,17,
OKBK,1/3/17 9:00,6.21,350,14.95,29.92,19,
OKBK,1/3/17 10:00,6.21,350,16.1,26.15,20,
OKBK,1/3/17 11:00,6.21,350,14.95,26.15,20,
OKBK,1/3/17 12:00,6.21,350,14.95,26.15,20,
OKBK,1/3/17 13:00,6.21,350,12.65,28.11,20,
OKBK,1/3/17 14:00,6.21,350,11.5,29.92,19,
OKBK,1/3/17 15:00,6.21,350,9.2,34.22,18,
OKBK,1/3/17 16:00,6.21,350,11.5,31.56,17,
OKBK,1/3/17 17:00,6.21,350,11.5,36.16,16,
OKBK,1/3/17 18:00,6.21,350,12.65,33.64,16,
OKBK,1/3/17 19:00,6.21,350,13.8,38.56,15,
OKBK,1/3/17 20:00,6.21,350,11.5,41.13,14,
OKBK,1/3/17 21:00,6.21,350,14.95,44.19,14,
OKBK,1/3/17 22:00,6.21,350,11.5,47.16,13,
OKBK,1/3/17 23:00,6.21,350,12.65,54.07,12,
OKBK,1/4/17 0:00,6.21,340,11.5,54.07,12,
OKBK,1/4/17 1:00,6.21,360,10.35,58.02,12,
OKBK,1/4/17 2:00,6.21,350,9.2,58.02,12,
OKBK,1/4/17 3:00,6.21,350,9.2,61.99,11,
OKBK,1/4/17 4:00,6.21,340,8.05,66.27,10,
OKBK,1/4/17 5:00,6.21,330,8.05,61.99,11,
OKBK,1/4/17 6:00,6.21,340,10.35,54.07,12,
OKBK,1/4/17 7:00,6.21,350,11.5,50.64,13,
OKBK,1/4/17 8:00,6.21,340,10.35,44.47,15,
OKBK,1/4/17 9:00,6.21,350,14.95,36.16,16,
OKBK,1/4/17 10:00,6.21,350,13.8,36.45,17,
OKBK,1/4/17 11:00,6.21,340,14.95,33.93,17,
OKBK,1/4/17 12:00,6.21,350,13.8,31.85,18,
OKBK,1/4/17 12:59,6.21,350,13.8,31.56,17,
OKBK,1/4/17 14:00,6.21,350,12.65,31.56,17,
OKBK,1/4/17 15:00,6.21,350,11.5,36.16,16,
OKBK,1/4/17 16:00,6.21,340,10.35,38.85,16,
OKBK,1/4/17 17:00,6.21,340,10.35,44.47,15,
OKBK,1/4/17 18:00,6.21,340,11.5,44.47,15,
OKBK,1/4/17 19:00,6.21,340,11.5,44.47,15,
OKBK,1/4/17 20:00,6.21,340,14.95,47.44,14,
OKBK,1/4/17 21:00,6.21,340,12.65,54.34,13,
OKBK,1/4/17 22:00,6.21,350,13.8,54.34,13,
OKBK,1/4/17 23:00,6.21,350,11.5,62.23,12,
OKBK,1/5/17 0:00,6.21,340,11.5,62.23,12,
OKBK,1/5/17 1:00,6.21,350,11.5,58.02,12,
OKBK,1/5/17 2:00,6.21,340,16.1,57.77,11,
OKBK,1/5/17 3:00,6.21,340,13.8,61.76,10,
OKBK,1/5/17 4:00,6.21,330,13.8,61.76,10,
OKBK,1/5/17 5:00,6.21,340,17.25,57.77,11,
OKBK,1/5/17 6:00,6.21,340,17.25,50.36,12,
OKBK,1/5/17 7:00,6.21,340,21.85,47.16,13,
OKBK,1/5/17 8:00,6.21,350,21.85,41.42,15,
OKBK,1/5/17 9:00,6.21,340,27.6,36.45,17,
OKBK,1/5/17 10:00,6.21,340,24.15,29.63,18,
OKBK,1/5/17 11:00,6.21,350,23,29.63,18,
OKBK,1/5/17 12:00,6.21,340,19.55,27.83,19,
OKBK,1/5/17 12:59,6.21,340,20.7,29.63,18,
OKBK,1/5/17 14:00,6.21,340,16.1,33.93,17,
OKBK,1/5/17 15:00,6.21,350,12.65,36.16,16,
OKBK,1/5/17 16:00,6.21,340,11.5,38.56,15,
OKBK,1/5/17 17:00,6.21,340,11.5,41.13,14,
OKBK,1/5/17 18:00,6.21,330,13.8,44.19,14,
OKBK,1/5/17 19:00,4.35,330,13.8,47.16,13,
OKBK,1/5/17 20:00,4.97,340,17.25,47.16,13,
OKBK,1/5/17 21:00,6.21,340,14.95,50.36,12,
OKBK,1/5/17 22:00,6.21,340,13.8,53.81,11,
OKBK,1/5/17 23:00,6.21,340,16.1,53.81,11,
OKBK,1/6/17 0:00,6.21,340,17.25,57.77,11,
OKBK,1/6/17 1:00,6.21,320,9.2,61.76,10,
OKBK,1/6/17 2:00,6.21,320,10.35,57.52,10,
OKBK,1/6/17 3:00,6.21,330,13.8,53.54,10,
OKBK,1/6/17 4:00,6.21,330,11.5,57.26,9,
OKBK,1/6/17 5:00,6.21,330,12.65,53.54,10,
OKBK,1/6/17 6:00,6.21,330,12.65,46.88,12,
OKBK,1/6/17 7:00,6.21,330,13.8,38.26,14,
OKBK,1/6/17 8:00,6.21,340,14.95,33.64,16,
OKBK,1/6/17 9:00,6.21,340,16.1,27.55,18,
OKBK,1/6/17 10:00,6.21,350,16.1,25.88,19,
OKBK,1/6/17 11:00,6.21,340,17.25,22.59,20,
OKBK,1/6/17 12:00,6.21,340,18.4,20.98,20,
OKBK,1/6/17 12:59,6.21,340,14.95,24.04,19,
OKBK,1/6/17 14:00,6.21,340,10.35,27.55,18,
OKBK,1/6/17 15:00,6.21,310,6.9,33.64,16,
OKBK,1/6/17 16:00,6.21,310,4.6,35.57,14,
OKBK,1/6/17 17:00,6.21,280,3.45,43.32,11,
OKBK,1/6/17 18:00,6.21,290,3.45,40.25,11,
OKBK,1/6/17 19:00,6.21,300,3.45,43.32,11,
OKBK,1/6/17 20:00,6.21,270,4.6,49.24,8,
OKBK,1/6/17 21:00,6.21,240,4.6,53,8,
OKBK,1/6/17 22:00,6.21,260,4.6,56.74,7,
OKBK,1/6/17 23:00,6.21,0,0,53,8,
OKBK,1/7/17 0:00,6.21,280,4.6,60.79,6,
OKBK,1/7/17 1:00,4.35,230,3.45,65.38,6,
OKBK,1/7/17 2:00,6.21,0,0,61.03,7,
OKBK,1/7/17 3:00,6.21,0,0,56.74,7,
OKBK,1/7/17 4:00,3.73,200,3.45,60.79,6,
OKBK,1/7/17 5:00,4.35,0,0,57,8,
OKBK,1/7/17 6:00,4.97,0,0,50.36,12,
OKBK,1/7/17 7:00,4.35,0,0,47.44,14,
