Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kuwait City,PM2.5 - Principal,2020-12-01 01:00 AM,2020,12,01,01,42.4,118,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 02:00 AM,2020,12,01,02,43.2,120,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 03:00 AM,2020,12,01,03,48.1,132,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 04:00 AM,2020,12,01,04,48.5,133,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 05:00 AM,2020,12,01,05,47.2,130,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 06:00 AM,2020,12,01,06,48.6,133,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 07:00 AM,2020,12,01,07,50.3,137,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 08:00 AM,2020,12,01,08,46.1,127,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 09:00 AM,2020,12,01,09,46.0,127,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 10:00 AM,2020,12,01,10,50.2,137,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 11:00 AM,2020,12,01,11,49.7,136,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 12:00 PM,2020,12,01,12,52.2,142,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 01:00 PM,2020,12,01,13,53.3,145,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 02:00 PM,2020,12,01,14,54.4,148,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 03:00 PM,2020,12,01,15,57.2,152,Unhealthy,62.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 04:00 PM,2020,12,01,16,62.8,155,Unhealthy,70.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 05:00 PM,2020,12,01,17,60.5,154,Unhealthy,57.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 06:00 PM,2020,12,01,18,56.7,152,Unhealthy,51.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 07:00 PM,2020,12,01,19,54.0,147,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 08:00 PM,2020,12,01,20,49.2,135,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 09:00 PM,2020,12,01,21,50.3,137,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 10:00 PM,2020,12,01,22,52.2,142,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-01 11:00 PM,2020,12,01,23,53.3,145,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 12:00 AM,2020,12,02,00,53.9,146,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 01:00 AM,2020,12,02,01,43.6,121,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 02:00 AM,2020,12,02,02,32.3,93,Moderate,21.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 03:00 AM,2020,12,02,03,27.6,84,Moderate,23.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 04:00 AM,2020,12,02,04,40.3,113,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 05:00 AM,2020,12,02,05,36.1,102,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 06:00 AM,2020,12,02,06,27.0,82,Moderate,18.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 07:00 AM,2020,12,02,07,24.0,76,Moderate,21.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 08:00 AM,2020,12,02,08,28.0,84,Moderate,32.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 09:00 AM,2020,12,02,09,25.5,79,Moderate,23.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 10:00 AM,2020,12,02,10,26.7,82,Moderate,28.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 11:00 AM,2020,12,02,11,29.8,88,Moderate,33.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 12:00 PM,2020,12,02,12,29.9,88,Moderate,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 01:00 PM,2020,12,02,13,33.9,97,Moderate,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 02:00 PM,2020,12,02,14,35.4,100,Moderate,37.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 03:00 PM,2020,12,02,15,32.7,94,Moderate,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 04:00 PM,2020,12,02,16,32.3,93,Moderate,32.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 05:00 PM,2020,12,02,17,34.1,97,Moderate,36.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 06:00 PM,2020,12,02,18,33.5,96,Moderate,33.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 07:00 PM,2020,12,02,19,28.6,86,Moderate,22.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 08:00 PM,2020,12,02,20,23.3,75,Moderate,19.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 09:00 PM,2020,12,02,21,26.6,81,Moderate,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 10:00 PM,2020,12,02,22,28.8,86,Moderate,31.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-02 11:00 PM,2020,12,02,23,25.4,79,Moderate,22.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 12:00 AM,2020,12,03,00,21.7,71,Moderate,18.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 01:00 AM,2020,12,03,01,19.8,67,Moderate,18.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 02:00 AM,2020,12,03,02,18.9,65,Moderate,18.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 03:00 AM,2020,12,03,03,17.9,63,Moderate,17.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 04:00 AM,2020,12,03,04,18.4,64,Moderate,19.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 05:00 AM,2020,12,03,05,15.2,58,Moderate,12.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 06:00 AM,2020,12,03,06,14.1,55,Moderate,13.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 07:00 AM,2020,12,03,07,13.5,54,Moderate,13.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 08:00 AM,2020,12,03,08,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 09:00 AM,2020,12,03,09,13.6,54,Moderate,14.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 10:00 AM,2020,12,03,10,17.4,62,Moderate,22.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 11:00 AM,2020,12,03,11,17.2,62,Moderate,17.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 12:00 PM,2020,12,03,12,15.7,59,Moderate,14.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 01:00 PM,2020,12,03,13,17.6,63,Moderate,20.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 02:00 PM,2020,12,03,14,23.9,76,Moderate,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 03:00 PM,2020,12,03,15,26.9,82,Moderate,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-12-03 04:00 PM,2020,12,03,16,25.4,79,Moderate,24.0,UG/M3,1 Hr,Valid
