Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kuwait City,PM2.5 - Principal,2020-01-15 04:00 AM,2020,01,15,04,-999.0,-999,N/A,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 05:00 AM,2020,01,15,05,43.5,121,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 06:00 AM,2020,01,15,06,49.5,135,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 07:00 AM,2020,01,15,07,50.9,139,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 08:00 AM,2020,01,15,08,59.9,153,Unhealthy,69.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 09:00 AM,2020,01,15,09,61.8,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 10:00 AM,2020,01,15,10,59.6,153,Unhealthy,57.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 11:00 AM,2020,01,15,11,55.7,151,Unhealthy,51.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 12:00 PM,2020,01,15,12,53.1,144,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 01:00 PM,2020,01,15,13,48.1,132,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 02:00 PM,2020,01,15,14,43.5,121,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 03:00 PM,2020,01,15,15,35.8,102,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 04:00 PM,2020,01,15,16,29.9,88,Moderate,24.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 05:00 PM,2020,01,15,17,27.9,84,Moderate,26.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 06:00 PM,2020,01,15,18,26.4,81,Moderate,25.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 07:00 PM,2020,01,15,19,23.2,74,Moderate,20.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 08:00 PM,2020,01,15,20,23.1,74,Moderate,23.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 09:00 PM,2020,01,15,21,23.5,75,Moderate,24.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 10:00 PM,2020,01,15,22,26.2,81,Moderate,29.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-15 11:00 PM,2020,01,15,23,25.1,78,Moderate,24.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 12:00 AM,2020,01,16,00,25.0,78,Moderate,25.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 01:00 AM,2020,01,16,01,28.3,85,Moderate,32.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 02:00 AM,2020,01,16,02,29.2,87,Moderate,32.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 03:00 AM,2020,01,16,03,31.4,92,Moderate,34.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 04:00 AM,2020,01,16,04,36.5,103,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 05:00 AM,2020,01,16,05,51.7,141,Unhealthy for Sensitive Groups,67.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 06:00 AM,2020,01,16,06,66.9,157,Unhealthy,82.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 07:00 AM,2020,01,16,07,103.9,176,Unhealthy,141.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 08:00 AM,2020,01,16,08,99.9,174,Unhealthy,96.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 09:00 AM,2020,01,16,09,96.0,172,Unhealthy,92.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 10:00 AM,2020,01,16,10,82.5,165,Unhealthy,69.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 11:00 AM,2020,01,16,11,71.7,159,Unhealthy,61.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 12:00 PM,2020,01,16,12,67.8,157,Unhealthy,64.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 01:00 PM,2020,01,16,13,60.9,154,Unhealthy,54.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 02:00 PM,2020,01,16,14,51.4,140,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 03:00 PM,2020,01,16,15,47.2,130,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 04:00 PM,2020,01,16,16,42.1,117,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 05:00 PM,2020,01,16,17,39.5,111,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 06:00 PM,2020,01,16,18,43.2,120,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 07:00 PM,2020,01,16,19,41.6,116,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 08:00 PM,2020,01,16,20,43.3,120,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 09:00 PM,2020,01,16,21,40.8,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 10:00 PM,2020,01,16,22,41.4,116,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-16 11:00 PM,2020,01,16,23,42.9,119,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 12:00 AM,2020,01,17,00,42.0,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 01:00 AM,2020,01,17,01,42.1,117,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 02:00 AM,2020,01,17,02,43.9,122,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 03:00 AM,2020,01,17,03,44.2,122,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 04:00 AM,2020,01,17,04,46.7,129,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 05:00 AM,2020,01,17,05,47.5,131,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 06:00 AM,2020,01,17,06,47.6,131,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 07:00 AM,2020,01,17,07,46.4,128,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 08:00 AM,2020,01,17,08,46.5,128,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 09:00 AM,2020,01,17,09,47.8,131,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 10:00 AM,2020,01,17,10,50.7,138,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 11:00 AM,2020,01,17,11,54.0,147,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 12:00 PM,2020,01,17,12,55.4,150,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 01:00 PM,2020,01,17,13,53.0,144,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 02:00 PM,2020,01,17,14,47.5,131,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 03:00 PM,2020,01,17,15,41.0,115,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 04:00 PM,2020,01,17,16,39.7,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 05:00 PM,2020,01,17,17,40.7,114,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 06:00 PM,2020,01,17,18,45.1,125,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 07:00 PM,2020,01,17,19,47.7,131,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 08:00 PM,2020,01,17,20,50.8,139,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 09:00 PM,2020,01,17,21,50.0,137,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 10:00 PM,2020,01,17,22,49.5,135,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2020-01-17 11:00 PM,2020,01,17,23,48.8,134,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
