"","Year","Month","Day","Hour","temp","relh","wd","ws","visibility","station","date","tempc","YearName","Month_Name","AQI","RawConc"
"1",2017,1,1,0,"59",62.92,340,9,6.21,"OKBK",2017-01-01 00:00:00,59,"2017","January",NA,NA
"2",2017,1,1,1,"59",62.92,240,12,6.21,"OKBK",2017-01-01 01:00:00,59,"2017","January",NA,NA
"3",2017,1,1,2,"59",58.77,350,10,6.21,"OKBK",2017-01-01 02:00:00,59,"2017","January",NA,NA
"4",2017,1,1,3,"57.2",58.52,340,11,6.21,"OKBK",2017-01-01 03:00:00,57.2,"2017","January",146,50
"5",2017,1,1,4,"57.2",58.52,330,9,4.35,"OKBK",2017-01-01 04:00:00,57.2,"2017","January",133,42
"6",2017,1,1,5,"57.2",54.6,340,10,4.35,"OKBK",2017-01-01 05:00:00,57.2,"2017","January",118,36
"7",2017,1,1,6,"60.8",38.85,340,12,6.21,"OKBK",2017-01-01 06:00:00,60.8,"2017","January",120,45
"8",2017,1,1,7,"62.6",36.45,350,11,6.21,"OKBK",2017-01-01 07:00:00,62.6,"2017","January",118,41
"9",2017,1,1,8,"66.2",34.51,340,9,6.21,"OKBK",2017-01-01 08:00:00,66.2,"2017","January",122,47
"10",2017,1,1,9,"68",34.8,350,14,6.21,"OKBK",2017-01-01 09:00:00,68,"2017","January",119,41
"11",2017,1,1,10,"69.8",35.09,350,16,4.97,"OKBK",2017-01-01 10:00:00,69.8,"2017","January",115,38
"12",2017,1,1,11,"69.8",32.72,360,14,4.35,"OKBK",2017-01-01 11:00:00,69.8,"2017","January",110,36
"13",2017,1,1,12,"71.6",28.68,350,13,4.97,"OKBK",2017-01-01 12:00:00,71.6,"2017","January",123,53
"14",2017,1,1,13,"69.8",30.49,350,12,4.97,"OKBK",2017-01-01 13:00:00,69.8,"2017","January",117,38
"15",2017,1,1,14,"68",34.8,360,12,4.35,"OKBK",2017-01-01 14:00:00,68,"2017","January",124,51
"16",2017,1,1,15,"66.2",39.72,360,14,4.97,"OKBK",2017-01-01 15:00:00,66.2,"2017","January",116,35
"17",2017,1,1,16,"62.6",45.04,350,11,4.97,"OKBK",2017-01-01 16:00:00,62.6,"2017","January",112,37
"18",2017,1,1,17,"62.6",45.04,350,12,4.97,"OKBK",2017-01-01 17:00:00,62.6,"2017","January",116,45
"19",2017,1,1,18,"60.8",51.45,350,13,4.97,"OKBK",2017-01-01 18:00:00,60.8,"2017","January",120,46
"20",2017,1,1,19,"59",54.86,340,11,6.21,"OKBK",2017-01-01 19:00:00,59,"2017","January",129,54
"21",2017,1,1,20,"59",54.86,340,11,6.21,"OKBK",2017-01-01 20:00:00,59,"2017","January",134,53
"22",2017,1,1,21,"57.2",62.69,340,12,6.21,"OKBK",2017-01-01 21:00:00,57.2,"2017","January",141,56
"23",2017,1,1,22,"57.2",58.52,340,12,6.21,"OKBK",2017-01-01 22:00:00,57.2,"2017","January",135,45
"24",2017,1,1,23,"57.2",58.52,340,14,6.21,"OKBK",2017-01-01 23:00:00,57.2,"2017","January",125,39
"25",2017,1,2,0,"55.4",62.46,340,11,6.21,"OKBK",2017-01-02 00:00:00,55.4,"2017","January",123,43
"26",2017,1,2,1,"53.6",66.7,320,9,6.21,"OKBK",2017-01-02 01:00:00,53.6,"2017","January",121,42
"27",2017,1,2,2,"53.6",71.45,330,7,6.21,"OKBK",2017-01-02 02:00:00,53.6,"2017","January",121,44
"28",2017,1,2,3,"53.6",71.45,330,8,4.35,"OKBK",2017-01-02 03:00:00,53.6,"2017","January",119,41
"29",2017,1,2,4,"53.6",66.7,320,9,4.35,"OKBK",2017-01-02 04:00:00,53.6,"2017","January",123,48
"30",2017,1,2,5,"55.4",62.46,330,9,4.35,"OKBK",2017-01-02 05:00:00,55.4,"2017","January",128,50
"31",2017,1,2,6,"57.2",62.69,340,12,4.35,"OKBK",2017-01-02 06:00:00,57.2,"2017","January",128,47
"32",2017,1,2,7,"59",62.92,340,13,4.35,"OKBK",2017-01-02 07:00:00,59,"2017","January",131,50
"33",2017,1,2,8,"62.6",51.72,340,10,4.97,"OKBK",2017-01-02 08:00:00,62.6,"2017","January",129,46
"34",2017,1,2,9,"66.2",45.6,340,11,4.97,"OKBK",2017-01-02 09:00:00,66.2,"2017","January",129,48
