date,NO2
1/1/16,-1.27E+30
1/2/16,6.22E+15
1/3/16,-1.27E+30
1/4/16,-1.27E+30
1/5/16,2.80E+16
1/6/16,-1.27E+30
1/7/16,2.18E+16
1/8/16,-1.27E+30
1/9/16,6.21E+15
1/10/16,-1.27E+30
1/11/16,8.30E+15
1/12/16,1.57E+16
1/13/16,-1.27E+30
1/14/16,8.60E+15
1/15/16,-1.27E+30
1/16/16,1.04E+16
1/17/16,-1.27E+30
1/18/16,1.40E+16
1/19/16,-1.27E+30
1/20/16,6.17E+15
1/21/16,1.49E+16
1/22/16,-1.27E+30
1/23/16,-1.27E+30
1/24/16,-1.27E+30
1/25/16,7.05E+15
1/26/16,-1.27E+30
1/27/16,-1.27E+30
1/28/16,9.06E+15
1/29/16,-1.27E+30
1/30/16,1.34E+16
1/31/16,-1.27E+30
2/1/16,1.28E+16
2/2/16,-1.27E+30
2/3/16,1.63E+16
2/4/16,-1.27E+30
2/5/16,-1.27E+30
2/6/16,1.71E+16
2/7/16,-1.27E+30
2/8/16,5.85E+15
2/9/16,-1.27E+30
2/10/16,8.42E+15
2/11/16,-1.27E+30
2/12/16,5.91E+15
2/13/16,7.95E+15
2/14/16,-1.27E+30
2/15/16,1.06E+16
2/16/16,-1.27E+30
2/17/16,1.28E+16
2/18/16,-1.27E+30
2/19/16,1.03E+16
2/20/16,-1.27E+30
2/21/16,9.53E+15
2/22/16,1.75E+16
2/23/16,-1.27E+30
2/24/16,8.98E+15
2/25/16,-1.27E+30
2/26/16,8.57E+15
2/27/16,-1.27E+30
2/28/16,8.34E+15
2/29/16,9.75E+15
3/1/16,-1.27E+30
3/2/16,9.14E+15
3/3/16,-1.27E+30
3/4/16,5.23E+15
3/5/16,-1.27E+30
3/6/16,6.90E+15
3/7/16,-1.27E+30
3/8/16,-1.27E+30
3/9/16,9.70E+15
3/10/16,-1.27E+30
3/11/16,-1.27E+30
3/12/16,-1.27E+30
3/13/16,7.99E+15
3/14/16,-1.27E+30
3/15/16,-1.27E+30
3/16/16,1.82E+16
3/17/16,-1.27E+30
3/18/16,1.19E+16
3/19/16,-1.27E+30
3/20/16,7.09E+15
3/21/16,-1.27E+30
3/22/16,7.37E+15
3/23/16,-1.27E+30
3/24/16,7.83E+15
3/25/16,1.29E+16
3/26/16,-1.27E+30
3/27/16,-1.27E+30
3/28/16,-1.27E+30
3/29/16,5.60E+15
3/30/16,-1.27E+30
3/31/16,-1.27E+30
4/1/16,7.39E+15
4/2/16,1.34E+16
4/3/16,1.88E+16
4/4/16,1.13E+16
4/5/16,8.45E+15
4/6/16,-1.27E+30
4/7/16,8.51E+15
4/8/16,1.40E+16
4/9/16,-1.27E+30
4/10/16,2.45E+16
4/11/16,7.18E+15
4/12/16,-1.27E+30
4/13/16,-1.27E+30
4/14/16,1.21E+16
4/15/16,-1.27E+30
4/16/16,7.88E+15
4/17/16,8.79E+15
4/18/16,1.60E+16
4/19/16,1.44E+16
4/20/16,2.06E+16
4/21/16,1.60E+16
4/22/16,-1.27E+30
4/23/16,1.03E+16
4/24/16,1.10E+16
4/25/16,1.59E+16
4/26/16,1.51E+16
4/27/16,1.36E+16
4/28/16,1.89E+16
4/29/16,-1.27E+30
4/30/16,-1.27E+30
5/1/16,-1.27E+30
5/2/16,1.12E+16
5/3/16,1.40E+16
5/4/16,9.66E+15
5/5/16,1.04E+16
5/6/16,5.33E+15
5/7/16,-1.27E+30
5/8/16,-1.27E+30
5/9/16,-1.27E+30
5/10/16,8.23E+15
5/11/16,-1.27E+30
5/12/16,9.22E+15
5/13/16,9.56E+15
5/14/16,9.82E+15
5/15/16,-1.27E+30
5/16/16,7.38E+15
5/17/16,-1.27E+30
5/18/16,1.21E+16
5/19/16,1.48E+16
5/20/16,8.60E+15
5/21/16,7.48E+15
5/22/16,9.05E+15
5/23/16,1.75E+16
5/24/16,-1.27E+30
5/25/16,8.25E+15
5/26/16,8.78E+15
5/27/16,1.59E+16
5/28/16,1.13E+16
5/29/16,8.55E+15
6/10/16,1.03E+16
6/13/16,-1.27E+30
6/14/16,1.01E+16
6/15/16,9.22E+15
6/16/16,-1.27E+30
6/17/16,7.02E+15
6/18/16,-1.27E+30
6/19/16,9.50E+15
6/20/16,9.52E+15
6/21/16,1.01E+16
6/22/16,1.02E+16
6/23/16,1.49E+16
6/24/16,1.16E+16
6/25/16,-1.27E+30
6/26/16,9.68E+15
6/27/16,6.59E+15
6/28/16,8.12E+15
6/29/16,1.62E+16
6/30/16,1.25E+16
7/1/16,7.97E+15
7/2/16,-1.27E+30
7/3/16,6.81E+15
7/4/16,-1.27E+30
7/5/16,8.03E+15
7/6/16,8.64E+15
7/7/16,1.20E+16
7/8/16,1.16E+16
7/9/16,1.06E+16
7/10/16,7.77E+15
7/11/16,-1.27E+30
7/12/16,7.90E+15
7/13/16,1.02E+16
7/14/16,-1.27E+30
7/15/16,9.75E+15
7/16/16,9.97E+15
7/17/16,9.68E+15
7/18/16,-1.27E+30
7/19/16,1.27E+16
7/20/16,-1.27E+30
7/21/16,1.10E+16
7/22/16,9.38E+15
7/23/16,6.80E+15
7/24/16,1.21E+16
7/25/16,6.05E+15
7/26/16,6.96E+15
7/27/16,-1.27E+30
7/28/16,1.02E+16
7/29/16,8.02E+15
7/30/16,1.08E+16
7/31/16,1.70E+16
8/1/16,1.34E+16
8/2/16,9.03E+15
8/3/16,-1.27E+30
8/4/16,9.97E+15
8/5/16,-1.27E+30
8/6/16,8.96E+15
8/7/16,1.19E+16
8/8/16,1.28E+16
8/9/16,1.25E+16
8/10/16,1.80E+16
8/11/16,1.35E+16
8/12/16,-1.27E+30
8/13/16,9.84E+15
8/14/16,1.39E+16
8/15/16,-1.27E+30
8/16/16,9.90E+15
8/17/16,9.68E+15
8/18/16,1.17E+16
8/19/16,-1.27E+30
8/20/16,9.50E+15
8/21/16,-1.27E+30
8/22/16,1.23E+16
8/23/16,5.00E+15
8/24/16,9.69E+15
8/25/16,1.60E+16
8/26/16,8.01E+15
8/27/16,9.44E+15
8/28/16,-1.27E+30
8/29/16,1.03E+16
8/30/16,1.40E+16
8/31/16,1.39E+16
9/1/16,-1.27E+30
9/2/16,1.23E+16
9/3/16,9.52E+15
9/4/16,-1.27E+30
9/5/16,6.67E+15
9/6/16,-1.27E+30
9/7/16,6.71E+15
9/8/16,8.46E+15
9/9/16,1.53E+16
9/10/16,1.15E+16
9/11/16,1.23E+16
9/12/16,9.37E+15
9/13/16,-1.27E+30
9/14/16,1.08E+16
9/15/16,-1.27E+30
9/16/16,-1.27E+30
9/17/16,1.94E+16
9/18/16,-1.27E+30
9/19/16,8.96E+15
9/20/16,-1.27E+30
9/21/16,7.15E+15
9/22/16,-1.27E+30
9/23/16,5.79E+15
9/24/16,7.02E+15
9/25/16,-1.27E+30
9/26/16,1.01E+16
9/27/16,-1.27E+30
9/28/16,1.06E+16
9/29/16,-1.27E+30
9/30/16,6.19E+15
10/1/16,-1.27E+30
10/2/16,9.08E+15
10/3/16,1.35E+16
10/4/16,-1.27E+30
10/5/16,1.26E+16
10/6/16,-1.27E+30
10/7/16,6.27E+15
10/8/16,-1.27E+30
10/9/16,1.25E+16
10/10/16,2.10E+16
10/11/16,-1.27E+30
10/12/16,8.83E+15
10/13/16,-1.27E+30
10/14/16,7.18E+15
10/15/16,-1.27E+30
10/16/16,7.29E+15
10/17/16,-1.27E+30
10/18/16,-1.27E+30
10/19/16,1.55E+16
10/20/16,-1.27E+30
10/21/16,5.51E+15
10/22/16,-1.27E+30
10/23/16,6.80E+15
10/24/16,-1.27E+30
10/25/16,9.22E+15
10/26/16,9.56E+15
10/27/16,-1.27E+30
10/28/16,9.87E+15
10/29/16,-1.27E+30
10/30/16,7.64E+15
10/31/16,-1.27E+30
11/1/16,5.26E+15
11/2/16,-1.27E+30
11/3/16,4.21E+15
11/4/16,9.45E+15
11/5/16,-1.27E+30
11/6/16,8.27E+15
11/7/16,-1.27E+30
11/8/16,7.26E+15
11/9/16,-1.27E+30
11/10/16,5.18E+15
11/11/16,6.20E+15
11/12/16,-1.27E+30
11/13/16,9.96E+15
11/14/16,-1.27E+30
11/15/16,9.41E+15
11/16/16,-1.27E+30
11/17/16,8.73E+15
11/18/16,-1.27E+30
11/19/16,-1.27E+30
11/20/16,6.58E+15
11/21/16,-1.27E+30
11/22/16,-1.27E+30
11/23/16,-1.27E+30
11/24/16,6.81E+15
11/25/16,-1.27E+30
11/26/16,9.10E+15
11/27/16,-1.27E+30
11/28/16,-1.27E+30
11/29/16,8.79E+15
11/30/16,-1.27E+30
12/1/16,-1.27E+30
12/2/16,-1.27E+30
12/3/16,6.34E+15
12/4/16,-1.27E+30
12/5/16,-1.27E+30
12/6/16,2.04E+16
12/7/16,-1.27E+30
12/8/16,1.16E+16
12/9/16,-1.27E+30
12/10/16,6.86E+15
12/11/16,-1.27E+30
12/12/16,1.14E+16
12/13/16,3.03E+16
12/14/16,-1.27E+30
12/15/16,8.08E+15
12/16/16,-1.27E+30
12/17/16,9.39E+15
12/18/16,-1.27E+30
12/19/16,1.05E+16
12/20/16,-1.27E+30
12/21/16,-1.27E+30
12/22/16,-1.27E+30
12/23/16,-1.27E+30
12/24/16,-1.27E+30
12/25/16,-1.27E+30
12/26/16,-1.27E+30
12/27/16,-1.27E+30
12/28/16,7.46E+15
12/29/16,1.46E+16
12/30/16,-1.27E+30
12/31/16,8.77E+15
1/1/17,-1.27E+30
1/2/17,1.42E+16
1/3/17,-1.27E+30
1/4/17,9.13E+15
1/5/17,-1.27E+30
1/6/17,9.21E+15
1/7/17,2.43E+16
1/8/17,-1.27E+30
1/9/17,8.74E+15
1/10/17,-1.27E+30
1/11/17,8.67E+15
1/12/17,-1.27E+30
1/13/17,6.01E+15
1/14/17,9.57E+15
1/15/17,-1.27E+30
1/16/17,1.37E+16
1/17/17,-1.27E+30
1/18/17,-1.27E+30
1/19/17,-1.27E+30
1/20/17,-1.27E+30
1/21/17,-1.27E+30
1/22/17,-1.27E+30
1/23/17,1.18E+16
1/24/17,-1.27E+30
1/25/17,1.23E+16
1/26/17,-1.27E+30
1/27/17,-1.27E+30
1/28/17,-1.27E+30
1/29/17,7.12E+15
1/30/17,1.28E+16
1/31/17,-1.27E+30
2/1/17,1.48E+16
2/2/17,-1.27E+30
2/3/17,1.02E+16
2/4/17,-1.27E+30
2/5/17,1.28E+16
2/6/17,-1.27E+30
2/7/17,1.22E+16
2/8/17,2.04E+16
2/9/17,-1.27E+30
2/10/17,9.19E+15
2/11/17,-1.27E+30
2/12/17,9.66E+15
2/13/17,-1.27E+30
2/14/17,1.04E+16
2/15/17,-1.27E+30
2/16/17,-1.27E+30
2/17/17,-1.27E+30
2/18/17,-1.27E+30
2/19/17,9.19E+15
2/20/17,-1.27E+30
2/21/17,1.05E+16
2/22/17,-1.27E+30
2/23/17,-1.27E+30
2/24/17,9.10E+15
2/25/17,-1.27E+30
2/26/17,8.00E+15
2/27/17,-1.27E+30
2/28/17,1.17E+16
3/1/17,-1.27E+30
3/2/17,7.08E+15
3/3/17,6.14E+15
3/4/17,-1.27E+30
3/5/17,1.02E+16
3/6/17,-1.27E+30
3/7/17,9.94E+15
3/8/17,-1.27E+30
3/9/17,6.08E+15
3/10/17,-1.27E+30
3/11/17,-1.27E+30
3/12/17,6.57E+15
3/17/17,-1.27E+30
3/18/17,5.97E+15
3/19/17,6.96E+15
3/20/17,-1.27E+30
3/21/17,1.15E+16
3/22/17,-1.27E+30
3/23/17,-1.27E+30
3/24/17,-1.27E+30
3/25/17,-1.27E+30
3/26/17,-1.27E+30
3/27/17,-1.27E+30
3/28/17,-1.27E+30
3/29/17,9.04E+15
3/30/17,1.04E+16
3/31/17,-1.27E+30
4/1/17,7.48E+15
4/2/17,-1.27E+30
4/3/17,6.11E+15
4/4/17,6.74E+15
4/5/17,8.61E+15
4/6/17,1.05E+16
4/7/17,6.25E+15
4/8/17,5.94E+15
4/9/17,-1.27E+30
4/10/17,1.24E+16
4/11/17,5.17E+15
4/12/17,1.06E+16
4/13/17,1.31E+16
4/14/17,7.11E+15
4/15/17,-1.27E+30
4/16/17,-1.27E+30
4/17/17,-1.27E+30
4/18/17,-1.27E+30
4/19/17,6.30E+15
4/20/17,7.54E+15
4/21/17,8.14E+15
4/22/17,7.17E+15
4/23/17,1.42E+16
4/24/17,1.18E+16
4/25/17,-1.27E+30
4/26/17,8.61E+15
4/27/17,7.69E+15
4/28/17,-1.27E+30
4/29/17,1.23E+16
4/30/17,-1.27E+30
5/1/17,1.35E+16
5/2/17,-1.27E+30
5/3/17,1.26E+16
5/4/17,-1.27E+30
5/5/17,-1.27E+30
5/6/17,3.85E+15
5/7/17,-1.27E+30
5/8/17,1.06E+16
5/9/17,7.10E+15
5/10/17,8.82E+15
5/11/17,-1.27E+30
5/12/17,8.28E+15
5/13/17,1.21E+16
5/14/17,8.89E+15
5/15/17,1.26E+16
5/16/17,1.08E+16
5/17/17,-1.27E+30
5/18/17,-1.27E+30
5/19/17,1.09E+16
5/20/17,-1.27E+30
5/21/17,7.72E+15
5/22/17,6.87E+15
5/23/17,1.06E+16
5/24/17,6.96E+15
5/25/17,6.32E+15
5/26/17,7.28E+15
5/27/17,-1.27E+30
5/28/17,6.51E+15
5/29/17,8.35E+15
5/30/17,-1.27E+30
5/31/17,7.23E+15
6/1/17,6.71E+15
6/2/17,7.40E+15
6/3/17,-1.27E+30
6/4/17,8.27E+15
6/5/17,-1.27E+30
6/6/17,1.05E+16
6/7/17,9.79E+15
6/8/17,9.50E+15
6/9/17,7.89E+15
6/10/17,6.40E+15
6/11/17,1.08E+16
6/12/17,-1.27E+30
6/13/17,9.81E+15
6/14/17,7.86E+15
6/15/17,1.05E+16
6/16/17,6.23E+15
6/17/17,8.74E+15
6/18/17,1.15E+16
6/19/17,-1.27E+30
6/20/17,6.85E+15
6/21/17,-1.27E+30
6/22/17,7.18E+15
6/23/17,7.37E+15
6/24/17,9.83E+15
6/25/17,8.02E+15
6/26/17,9.50E+15
6/27/17,1.03E+16
6/28/17,-1.27E+30
6/29/17,7.70E+15
6/30/17,9.32E+15
7/1/17,-1.27E+30
7/2/17,1.10E+16
7/3/17,9.94E+15
7/4/17,9.22E+15
7/5/17,-1.27E+30
7/6/17,1.09E+16
7/7/17,-1.27E+30
7/8/17,7.91E+15
7/9/17,5.28E+15
7/10/17,1.24E+16
7/11/17,8.32E+15
7/12/17,-1.27E+30
7/13/17,8.85E+15
7/14/17,-1.27E+30
7/15/17,7.59E+15
7/16/17,7.22E+15
7/17/17,9.18E+15
7/18/17,7.73E+15
7/19/17,1.30E+16
7/20/17,1.40E+16
7/21/17,-1.27E+30
7/22/17,9.44E+15
7/23/17,-1.27E+30
7/24/17,1.04E+16
7/25/17,1.09E+16
7/26/17,1.03E+16
7/27/17,9.94E+15
7/28/17,-1.27E+30
7/29/17,1.01E+16
