date,NO2T
1/1/16,-1.27E+30
1/2/16,3.91E+15
1/3/16,-1.27E+30
1/4/16,-1.27E+30
1/5/16,2.57E+16
1/6/16,-1.27E+30
1/7/16,1.96E+16
1/8/16,-1.27E+30
1/9/16,3.76E+15
1/10/16,-1.27E+30
1/11/16,5.77E+15
1/12/16,1.33E+16
1/13/16,-1.27E+30
1/14/16,6.00E+15
1/15/16,-1.27E+30
1/16/16,7.76E+15
1/17/16,-1.27E+30
1/18/16,1.14E+16
1/19/16,-1.27E+30
1/20/16,3.62E+15
1/21/16,1.25E+16
1/22/16,-1.27E+30
1/23/16,-1.27E+30
1/24/16,-1.27E+30
1/25/16,4.67E+15
1/26/16,-1.27E+30
1/27/16,-1.27E+30
1/28/16,6.66E+15
1/29/16,-1.27E+30
1/30/16,1.10E+16
1/31/16,-1.27E+30
2/1/16,1.02E+16
2/2/16,-1.27E+30
2/3/16,1.35E+16
2/4/16,-1.27E+30
2/5/16,-1.27E+30
2/6/16,1.46E+16
2/7/16,-1.27E+30
2/8/16,3.45E+15
2/9/16,-1.27E+30
2/10/16,5.98E+15
2/11/16,-1.27E+30
2/12/16,3.39E+15
2/13/16,5.42E+15
2/14/16,-1.27E+30
2/15/16,8.01E+15
2/16/16,-1.27E+30
2/17/16,1.02E+16
2/18/16,-1.27E+30
2/19/16,7.68E+15
2/20/16,-1.27E+30
2/21/16,6.85E+15
2/22/16,1.49E+16
2/23/16,-1.27E+30
2/24/16,6.23E+15
2/25/16,-1.27E+30
2/26/16,5.82E+15
2/27/16,-1.27E+30
2/28/16,5.49E+15
2/29/16,6.87E+15
3/1/16,-1.27E+30
3/2/16,6.35E+15
3/3/16,-1.27E+30
3/4/16,2.54E+15
3/5/16,-1.27E+30
3/6/16,4.35E+15
3/7/16,-1.27E+30
3/8/16,-1.27E+30
3/9/16,7.02E+15
3/10/16,-1.27E+30
3/11/16,-1.27E+30
3/12/16,-1.27E+30
3/13/16,5.56E+15
3/14/16,-1.27E+30
3/15/16,-1.27E+30
3/16/16,1.57E+16
3/17/16,-1.27E+30
3/18/16,9.26E+15
3/19/16,-1.27E+30
3/20/16,4.35E+15
3/21/16,-1.27E+30
3/22/16,4.75E+15
3/23/16,-1.27E+30
3/24/16,4.95E+15
3/25/16,1.00E+16
3/26/16,-1.27E+30
3/27/16,-1.27E+30
3/28/16,-1.27E+30
3/29/16,2.73E+15
3/30/16,-1.27E+30
3/31/16,-1.27E+30
4/1/16,4.56E+15
4/2/16,1.06E+16
4/3/16,1.59E+16
4/4/16,8.29E+15
4/5/16,5.46E+15
4/6/16,-1.27E+30
4/7/16,5.45E+15
4/8/16,1.09E+16
4/9/16,-1.27E+30
4/10/16,2.15E+16
4/11/16,4.20E+15
4/12/16,-1.27E+30
4/13/16,-1.27E+30
4/14/16,8.96E+15
4/15/16,-1.27E+30
4/16/16,4.77E+15
4/17/16,5.58E+15
4/18/16,1.29E+16
4/19/16,1.12E+16
4/20/16,1.74E+16
4/21/16,1.29E+16
4/22/16,-1.27E+30
4/23/16,7.23E+15
4/24/16,7.86E+15
4/25/16,1.27E+16
4/26/16,1.18E+16
4/27/16,1.04E+16
4/28/16,1.59E+16
4/29/16,-1.27E+30
4/30/16,-1.27E+30
5/1/16,-1.27E+30
5/2/16,8.18E+15
5/3/16,1.10E+16
5/4/16,6.67E+15
5/5/16,7.41E+15
5/6/16,2.32E+15
5/7/16,-1.27E+30
5/8/16,-1.27E+30
5/9/16,-1.27E+30
5/10/16,5.18E+15
5/11/16,-1.27E+30
5/12/16,6.16E+15
5/13/16,6.52E+15
5/14/16,6.78E+15
5/15/16,-1.27E+30
5/16/16,4.44E+15
5/17/16,-1.27E+30
5/18/16,9.12E+15
5/19/16,1.19E+16
5/20/16,5.59E+15
5/21/16,4.44E+15
5/22/16,6.03E+15
5/23/16,1.44E+16
5/24/16,-1.27E+30
5/25/16,5.11E+15
5/26/16,5.50E+15
5/27/16,1.26E+16
5/28/16,7.96E+15
5/29/16,5.26E+15
6/10/16,7.12E+15
6/13/16,-1.27E+30
6/14/16,6.89E+15
6/15/16,5.90E+15
6/16/16,-1.27E+30
6/17/16,3.71E+15
6/18/16,-1.27E+30
6/19/16,6.23E+15
6/20/16,6.40E+15
6/21/16,7.07E+15
6/22/16,7.14E+15
6/23/16,1.20E+16
6/24/16,8.55E+15
6/25/16,-1.27E+30
6/26/16,6.56E+15
6/27/16,3.48E+15
6/28/16,5.23E+15
6/29/16,1.32E+16
6/30/16,9.62E+15
7/1/16,5.08E+15
7/2/16,-1.27E+30
7/3/16,3.67E+15
7/4/16,-1.27E+30
7/5/16,4.98E+15
7/6/16,5.49E+15
7/7/16,8.81E+15
7/8/16,8.40E+15
7/9/16,7.46E+15
