date,NO2S,BaselineNO2S
1/1/15,6.01,6.511
1/2/15,6.163,6.531
1/3/15,6.051,6.524
1/4/15,5.897,6.394
1/5/15,5.707,6.555
1/6/15,5.837,6.309
1/7/15,6.213,6.626
1/8/15,6.88,6.661
1/9/15,7.285,6.692
1/10/15,7.027,6.817
1/11/15,6.995,6.945
1/12/15,6.843,7.037
1/13/15,6.88,6.745
1/14/15,6.876,6.72
1/15/15,7.63,6.817
1/16/15,8.489,6.93
1/17/15,9.172,7.253
1/18/15,9.432,7.244
1/19/15,9.961,7.207
1/20/15,9.88,7.093
1/21/15,10.229,7.19
1/22/15,9.74,6.814
1/23/15,9.423,6.674
1/24/15,8.676,6.705
1/25/15,8.501,6.708
1/26/15,8.168,6.518
1/27/15,8.482,6.66
1/28/15,8.6,6.721
1/29/15,8.224,6.724
1/30/15,7.885,6.64
1/31/15,8.283,6.897
2/1/15,7.438,6.594
2/2/15,6.277,6.476
2/3/15,6.318,6.514
2/4/15,6.116,6.468
2/5/15,5.809,6.328
2/6/15,5.807,6.387
2/7/15,5.752,6.422
2/8/15,6.031,6.402
2/9/15,5.97,6.274
2/10/15,6.154,6.371
2/11/15,5.488,6.076
2/12/15,5.46,6.016
2/13/15,5.647,6.037
2/14/15,5.476,5.927
2/15/15,4.389,5.708
2/16/15,4.275,5.566
2/17/15,4.202,5.631
2/18/15,4.382,5.539
2/19/15,4.39,5.485
2/20/15,4.617,5.634
2/21/15,5.249,5.97
2/22/15,5.27,5.889
2/23/15,5.344,5.686
2/24/15,5.479,5.647
2/25/15,5.015,5.552
2/26/15,4.956,5.443
2/27/15,4.806,5.37
2/28/15,4.794,5.166
3/1/15,4.841,4.86
3/2/15,4.832,4.652
3/3/15,5.05,4.728
3/4/15,4.689,4.703
3/5/15,4.464,4.615
3/6/15,4.097,4.547
3/7/15,4.182,4.562
3/8/15,3.643,4.118
3/9/15,3.841,4.175
3/10/15,3.645,4.228
3/11/15,3.645,4.045
3/12/15,3.723,4.01
3/13/15,3.764,4.023
3/14/15,3.867,4.075
3/15/15,3.788,4.033
3/16/15,3.828,4.103
3/17/15,3.781,4.221
3/18/15,4.168,4.216
3/19/15,4.551,4.165
3/20/15,4.339,4.283
3/21/15,5.015,4.288
3/22/15,4.772,4.215
3/23/15,4.698,4.201
3/24/15,4.435,4.076
3/25/15,4.431,3.981
3/26/15,4.432,4.141
3/27/15,4.218,4.076
3/28/15,4.218,4.167
3/29/15,4.041,4.129
3/30/15,4.011,4.3
3/31/15,4.066,4.442
4/1/15,4.392,4.529
4/2/15,4.485,4.674
4/3/15,4.476,4.749
4/4/15,4.637,4.841
4/5/15,4.608,4.844
4/6/15,4.676,4.857
4/7/15,4.722,4.924
4/8/15,4.742,5.046
4/9/15,4.774,5.267
4/10/15,4.766,5.304
4/11/15,4.997,5.442
4/12/15,4.794,5.332
4/13/15,5.314,5.385
4/14/15,5.133,5.314
4/15/15,5.083,5.164
4/16/15,4.686,5.093
4/17/15,4.158,4.967
4/18/15,4.075,4.88
4/19/15,4.115,4.846
4/20/15,4.139,4.907
4/21/15,4.541,5.044
4/22/15,4.505,5.169
4/23/15,4.578,5.12
4/24/15,4.605,5.118
4/25/15,4.675,5.19
4/26/15,4.726,5.323
4/27/15,4.886,5.357
4/28/15,4.878,5.378
4/29/15,5.028,5.378
4/30/15,5.06,5.48
5/1/15,5.053,5.561
5/2/15,5.177,5.578
5/3/15,5.362,5.733
5/4/15,5.541,5.627
5/5/15,5.558,5.58
5/6/15,5.42,5.479
5/7/15,5.355,5.401
5/8/15,5.516,5.349
5/9/15,5.17,5.286
5/10/15,5.127,5.137
5/11/15,5.378,4.906
5/12/15,5.376,5.061
5/13/15,5.688,5.204
5/14/15,6.024,5.24
5/15/15,6.045,5.215
5/16/15,5.94,5.179
5/17/15,5.877,5.243
5/18/15,5.876,5.165
5/19/15,5.754,5.17
5/20/15,5.802,5.263
5/21/15,5.726,5.234
5/22/15,5.83,5.318
5/23/15,5.871,5.378
5/24/15,6.256,5.31
5/25/15,6.24,5.319
5/26/15,6.123,5.379
5/27/15,6.068,5.238
5/28/15,5.738,5.098
5/29/15,5.498,5.124
5/30/15,5.406,5.143
5/31/15,5.486,5.17
6/1/15,5.07,5.033
6/2/15,5.039,4.976
6/3/15,5.029,5.06
6/4/15,4.934,4.954
6/5/15,4.906,4.922
6/6/15,4.834,4.832
6/7/15,4.607,4.809
6/8/15,4.605,4.933
6/9/15,4.36,4.829
6/10/15,4.295,4.816
6/11/15,4.334,4.813
6/12/15,4.5,4.757
6/13/15,4.416,4.655
6/14/15,4.413,4.59
