station,time,temp,relh,wd,ws,visibility
OKBK,1/1/17 0:00,59,62.92,340,9,6.21
OKBK,1/1/17 1:00,59,62.92,240,12,6.21
OKBK,1/1/17 2:00,59,58.77,350,10,6.21
OKBK,1/1/17 3:00,57.2,58.52,340,11,6.21
OKBK,1/1/17 4:00,57.2,58.52,330,9,4.35
OKBK,1/1/17 5:00,57.2,54.6,340,10,4.35
OKBK,1/1/17 6:00,60.8,38.85,340,12,6.21
OKBK,1/1/17 7:00,62.6,36.45,350,11,6.21
OKBK,1/1/17 8:00,66.2,34.51,340,9,6.21
OKBK,1/1/17 9:00,68,34.8,350,14,6.21
OKBK,1/1/17 10:00,69.8,35.09,350,16,4.97
OKBK,1/1/17 11:00,69.8,32.72,360,14,4.35
OKBK,1/1/17 12:00,71.6,28.68,350,13,4.97
OKBK,1/1/17 13:00,69.8,30.49,350,12,4.97
OKBK,1/1/17 14:00,68,34.8,360,12,4.35
OKBK,1/1/17 15:00,66.2,39.72,360,14,4.97
OKBK,1/1/17 16:00,62.6,45.04,350,11,4.97
OKBK,1/1/17 17:00,62.6,45.04,350,12,4.97
OKBK,1/1/17 18:00,60.8,51.45,350,13,4.97
OKBK,1/1/17 19:00,59,54.86,340,11,6.21
OKBK,1/1/17 20:00,59,54.86,340,11,6.21
OKBK,1/1/17 21:00,57.2,62.69,340,12,6.21
OKBK,1/1/17 22:00,57.2,58.52,340,12,6.21
OKBK,1/1/17 23:00,57.2,58.52,340,14,6.21
OKBK,1/2/17 0:00,55.4,62.46,340,11,6.21
OKBK,1/2/17 1:00,53.6,66.7,320,9,6.21
OKBK,1/2/17 2:00,53.6,71.45,330,7,6.21
OKBK,1/2/17 3:00,53.6,71.45,330,8,4.35
OKBK,1/2/17 4:00,53.6,66.7,320,9,4.35
OKBK,1/2/17 5:00,55.4,62.46,330,9,4.35
OKBK,1/2/17 6:00,57.2,62.69,340,12,4.35
OKBK,1/2/17 7:00,59,62.92,340,13,4.35
OKBK,1/2/17 8:00,62.6,51.72,340,10,4.97
OKBK,1/2/17 9:00,66.2,45.6,340,11,4.97
OKBK,1/2/17 10:00,69.8,40.29,340,10,6.21
OKBK,1/2/17 11:00,71.6,37.89,330,9,6.21
OKBK,1/2/17 12:00,71.6,35.37,340,8,6.21
OKBK,1/2/17 13:00,71.6,35.37,330,8,6.21
OKBK,1/2/17 14:00,69.8,37.61,330,5,6.21
OKBK,1/2/17 15:00,64.4,45.32,300,3,6.21
OKBK,1/2/17 16:00,60.8,51.45,290,5,6.21
OKBK,1/2/17 17:00,59,54.86,320,4,4.35
