station,valid,visibility,ws,wd,rh,tempc,
OBBI,1/1/16 0:00,3.11,3.45,70,93.88,18,
OBBI,1/1/16 1:00,3.11,3.45,90,93.92,19,
OBBI,1/1/16 2:00,2.49,8.05,100,93.92,19,
OBBI,1/1/16 3:00,3.11,9.2,110,93.92,19,
OBBI,1/1/16 4:00,6.21,5.75,130,88.26,20,
OBBI,1/1/16 5:00,6.21,9.2,130,88.26,20,
OBBI,1/1/16 6:00,6.21,10.35,130,82.98,21,
OBBI,1/1/16 7:00,6.21,14.95,130,83.09,22,
OBBI,1/1/16 8:00,6.21,13.8,140,73.61,24,
OBBI,1/1/16 9:00,6.21,14.95,130,73.61,24,
OBBI,1/1/16 10:00,6.21,14.95,140,69.33,25,
OBBI,1/1/16 11:00,6.21,12.65,140,69.33,25,
OBBI,1/1/16 12:00,6.21,8.05,140,57.6,26,
OBBI,1/1/16 13:00,6.21,8.05,110,73.61,24,
OBBI,1/1/16 14:00,6.21,6.9,120,64.91,24,
OBBI,1/1/16 15:00,6.21,6.9,120,78.04,22,
OBBI,1/1/16 16:00,6.21,11.5,130,78.04,22,
OBBI,1/1/16 17:00,6.21,9.2,110,82.98,21,
OBBI,1/1/16 18:00,6.21,9.2,110,88.34,21,
OBBI,1/1/16 19:00,6.21,9.2,130,88.34,21,
OBBI,1/1/16 20:00,4.97,3.45,90,88.34,21,
OBBI,1/1/16 21:00,4.97,5.75,110,88.34,21,
OBBI,1/1/16 22:00,4.97,6.9,120,88.34,21,
OBBI,1/2/16 0:00,4.97,12.65,130,94.01,21,
OBBI,1/2/16 1:00,3.73,4.6,140,88.34,21,
OBBI,1/2/16 2:00,3.73,4.6,180,88.34,21,
OBBI,1/2/16 3:00,3.11,6.9,290,93.97,20,
OBBI,1/2/16 4:00,2.49,10.35,310,88.26,20,
OBBI,1/2/16 5:00,3.11,10.35,330,82.98,21,
OBBI,1/2/16 6:00,2.49,8.05,330,88.34,21,
OBBI,1/2/16 7:00,3.11,16.1,360,88.34,21,
OBBI,1/2/16 8:00,3.11,16.1,360,88.34,21,
OBBI,1/2/16 9:00,3.73,17.25,10,82.98,21,
OBBI,1/2/16 10:00,5.59,17.25,360,73.27,22,
OBBI,1/2/16 11:00,6.21,18.4,360,73.27,22,
OBBI,1/2/16 12:00,6.21,20.7,350,68.55,21,
OBBI,1/2/16 13:00,6.21,18.4,350,73.09,21,
OBBI,1/2/16 14:00,6.21,18.4,340,68.35,20,
OBBI,1/2/16 15:00,6.21,17.25,350,64.04,20,
OBBI,1/2/16 16:00,6.21,18.4,340,64.04,20,
OBBI,1/2/16 17:00,6.21,19.55,340,59.97,20,
OBBI,1/2/16 18:00,6.21,17.25,340,59.97,20,
OBBI,1/2/16 19:00,6.21,20.7,330,72.74,19,
OBBI,1/2/16 20:00,6.21,21.85,330,68.15,19,
OBBI,1/2/16 21:00,6.21,20.7,330,68.15,19,
OBBI,1/2/16 22:00,6.21,21.85,330,67.95,18,
OBBI,1/2/16 23:00,6.21,23,330,72.56,18,
OBBI,1/3/16 0:00,6.21,23,330,67.95,18,
OBBI,1/3/16 1:00,6.21,21.85,320,67.95,18,
OBBI,1/3/16 2:00,6.21,25.3,320,67.75,17,
OBBI,1/3/16 3:00,6.21,26.45,320,63.38,17,
OBBI,1/3/16 4:00,6.21,26.45,320,63.38,17,
OBBI,1/3/16 5:00,6.21,28.75,320,63.38,17,
OBBI,1/3/16 6:00,6.21,27.6,320,59.5,18,
OBBI,1/3/16 7:00,6.21,28.75,320,59.26,17,
OBBI,1/3/16 8:00,6.21,32.2,320,51.98,18,
OBBI,1/3/16 9:00,6.21,31.05,320,51.72,17,
OBBI,1/3/16 10:00,6.21,31.05,320,51.72,17,
OBBI,1/3/16 11:00,6.21,29.9,320,48.28,17,
OBBI,1/3/16 12:00,6.21,28.75,310,48.28,17,
OBBI,1/3/16 13:00,6.21,28.75,320,51.45,16,
OBBI,1/3/16 14:00,6.21,26.45,330,54.86,15,
OBBI,1/3/16 15:00,6.21,26.45,320,54.86,15,
OBBI,1/3/16 16:00,6.21,24.15,330,58.77,15,
OBBI,1/3/16 17:00,6.21,27.6,320,58.77,15,
OBBI,1/3/16 18:00,6.21,23,330,58.77,15,
OBBI,1/3/16 19:00,6.21,25.3,320,58.77,15,
OBBI,1/3/16 20:00,6.21,23,330,58.77,15,
OBBI,1/3/16 21:00,6.21,23,330,62.92,15,
OBBI,1/3/16 22:00,6.21,23,330,62.92,15,
OBBI,1/3/16 23:00,6.21,21.85,340,58.77,15,
OBBI,1/4/16 0:00,6.21,18.4,330,62.92,15,
OBBI,1/4/16 1:00,6.21,18.4,330,62.92,15,
OBBI,1/4/16 2:00,6.21,20.7,330,62.92,15,
OBBI,1/4/16 3:00,6.21,19.55,330,62.92,15,
OBBI,1/4/16 4:00,6.21,19.55,320,67.33,15,
OBBI,1/4/16 5:00,6.21,18.4,320,63.15,16,
OBBI,1/4/16 6:00,6.21,18.4,310,72.2,16,
OBBI,1/4/16 7:00,6.21,19.55,320,59.5,18,
OBBI,1/4/16 8:00,6.21,21.85,320,55.63,18,
OBBI,1/4/16 9:00,6.21,21.85,310,59.5,18,
OBBI,1/4/16 10:00,6.21,23,310,59.5,18,
OBBI,1/4/16 11:00,6.21,20.7,320,59.5,18,
OBBI,1/4/16 12:00,6.21,19.55,320,59.5,18,
OBBI,1/4/16 13:00,6.21,19.55,310,59.5,18,
OBBI,1/4/16 14:00,6.21,17.25,320,63.38,17,
OBBI,1/4/16 15:00,6.21,16.1,320,67.75,17,
OBBI,1/4/16 16:00,6.21,14.95,330,67.75,17,
OBBI,1/4/16 17:00,6.21,11.5,330,67.75,17,
OBBI,1/4/16 18:00,6.21,10.35,310,67.75,17,
OBBI,1/4/16 19:00,6.21,10.35,310,72.2,16,
OBBI,1/4/16 20:00,6.21,9.2,320,72.2,16,
OBBI,1/4/16 21:00,6.21,10.35,290,82.25,15,
OBBI,1/4/16 22:00,6.21,9.2,280,76.98,15,
OBBI,1/4/16 23:00,6.21,9.2,280,82.25,15,
OBBI,1/5/16 0:00,6.21,9.2,280,82.25,15,
OBBI,1/5/16 1:00,6.21,8.05,290,82.25,15,
OBBI,1/5/16 2:00,6.21,10.35,290,77.14,16,
OBBI,1/5/16 3:00,6.21,8.05,280,82.37,16,
OBBI,1/5/16 4:00,6.21,8.05,290,77.14,16,
