Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,133.2,191,Unhealthy,107.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,119.6,184,Unhealthy,106.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,106.3,177,Unhealthy,93.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,133.6,191,Unhealthy,161.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,137.8,193,Unhealthy,142.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,129.3,189,Unhealthy,121.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,111.1,180,Unhealthy,93.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,93.5,171,Unhealthy,76.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,82.2,165,Unhealthy,71.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,91.1,169,Unhealthy,100.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,98.0,173,Unhealthy,105.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,94.0,171,Unhealthy,90.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,88.0,168,Unhealthy,82.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,81.5,164,Unhealthy,75.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,86.7,167,Unhealthy,92.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,88.8,168,Unhealthy,91.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,88.2,168,Unhealthy,88.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,86.4,167,Unhealthy,83.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,88.2,168,Unhealthy,92.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,86.2,167,Unhealthy,82.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,83.7,166,Unhealthy,77.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,84.6,166,Unhealthy,87.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,90.8,169,Unhealthy,106.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,94.7,171,Unhealthy,104.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,85.1,166,Unhealthy,66.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,67.8,157,Unhealthy,53.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,70.4,159,Unhealthy,73.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,82.2,165,Unhealthy,94.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,72.6,160,Unhealthy,63.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 06:00 AM,2018,01,02,06,68.8,158,Unhealthy,65.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2018-01-02 07:00 AM,2018,01,02,07,68.3,158,Unhealthy,68.0,UG/M3,1 Hr,Valid
