date,NO2
1/1/16,-1.27E+30
1/2/16,-1.27E+30
1/3/16,-1.27E+30
1/4/16,-1.27E+30
1/5/16,3.73E+15
1/6/16,-1.27E+30
1/7/16,1.04E+16
1/8/16,-1.27E+30
1/9/16,-1.27E+30
1/10/16,-1.27E+30
1/11/16,5.51E+15
1/12/16,-1.27E+30
1/13/16,9.54E+15
1/14/16,9.56E+15
1/15/16,-1.27E+30
1/16/16,1.62E+16
1/17/16,-1.27E+30
1/18/16,7.59E+15
1/19/16,-1.27E+30
1/20/16,5.96E+15
1/21/16,9.18E+15
1/22/16,-1.27E+30
1/23/16,4.04E+15
1/24/16,-1.27E+30
1/25/16,7.09E+15
1/26/16,-1.27E+30
1/27/16,-1.27E+30
1/28/16,-1.27E+30
1/29/16,6.71E+15
1/30/16,1.22E+16
1/31/16,-1.27E+30
2/1/16,1.41E+16
2/2/16,-1.27E+30
2/3/16,1.17E+16
2/4/16,-1.27E+30
2/5/16,-1.27E+30
2/6/16,8.46E+15
2/7/16,-1.27E+30
2/8/16,6.99E+15
2/9/16,-1.27E+30
2/10/16,2.80E+15
2/11/16,-1.27E+30
2/12/16,3.70E+15
2/13/16,-1.27E+30
2/14/16,5.40E+15
2/15/16,1.07E+16
2/16/16,-1.27E+30
2/17/16,9.22E+15
2/18/16,-1.27E+30
2/19/16,7.81E+15
2/20/16,-1.27E+30
2/21/16,3.53E+15
2/22/16,4.93E+15
2/23/16,-1.27E+30
2/24/16,5.61E+15
2/25/16,-1.27E+30
2/26/16,5.49E+15
2/27/16,-1.27E+30
2/28/16,2.90E+15
2/29/16,-1.27E+30
3/1/16,5.12E+15
3/2/16,1.53E+16
3/3/16,-1.27E+30
3/4/16,6.02E+15
3/5/16,-1.27E+30
3/6/16,7.54E+15
3/7/16,-1.27E+30
3/8/16,-1.27E+30
3/9/16,-5.13E+14
3/10/16,-1.27E+30
3/11/16,1.60E+15
3/12/16,-1.27E+30
3/13/16,5.56E+15
3/14/16,-1.27E+30
3/15/16,-1.27E+30
3/16/16,-1.27E+30
3/17/16,-1.27E+30
3/18/16,3.12E+15
3/19/16,-1.27E+30
3/20/16,3.65E+15
3/21/16,-1.27E+30
3/22/16,7.89E+15
3/23/16,-1.27E+30
3/24/16,3.65E+15
3/25/16,1.43E+16
3/26/16,4.13E+15
3/27/16,4.19E+15
3/28/16,-1.27E+30
3/29/16,5.20E+15
3/30/16,-1.27E+30
3/31/16,-1.27E+30
4/1/16,-2.16E+15
4/2/16,9.29E+15
4/3/16,1.14E+16
4/4/16,9.36E+15
4/5/16,4.82E+15
4/6/16,-1.27E+30
4/7/16,5.45E+15
4/8/16,-1.27E+30
4/9/16,-1.27E+30
4/10/16,4.50E+15
4/11/16,2.49E+15
4/12/16,-1.27E+30
4/13/16,-1.27E+30
4/14/16,2.76E+15
4/15/16,-1.27E+30
4/16/16,5.23E+15
4/17/16,5.58E+15
4/18/16,8.62E+15
4/19/16,1.19E+16
4/20/16,-1.27E+30
4/21/16,1.01E+16
4/22/16,-1.27E+30
4/23/16,1.10E+16
4/24/16,-1.27E+30
4/25/16,6.29E+15
