"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"1",2017,1,1,3,146,50,2017-01-01 03:00:00,"2017","January"
"2",2017,1,1,4,133,42,2017-01-01 04:00:00,"2017","January"
"3",2017,1,1,5,118,36,2017-01-01 05:00:00,"2017","January"
"4",2017,1,1,6,120,45,2017-01-01 06:00:00,"2017","January"
"5",2017,1,1,7,118,41,2017-01-01 07:00:00,"2017","January"
"6",2017,1,1,8,122,47,2017-01-01 08:00:00,"2017","January"
"7",2017,1,1,9,119,41,2017-01-01 09:00:00,"2017","January"
"8",2017,1,1,10,115,38,2017-01-01 10:00:00,"2017","January"
"9",2017,1,1,11,110,36,2017-01-01 11:00:00,"2017","January"
"10",2017,1,1,12,123,53,2017-01-01 12:00:00,"2017","January"
"11",2017,1,1,13,117,38,2017-01-01 13:00:00,"2017","January"
"12",2017,1,1,14,124,51,2017-01-01 14:00:00,"2017","January"
"13",2017,1,1,15,116,35,2017-01-01 15:00:00,"2017","January"
"14",2017,1,1,16,112,37,2017-01-01 16:00:00,"2017","January"
"15",2017,1,1,17,116,45,2017-01-01 17:00:00,"2017","January"
"16",2017,1,1,18,120,46,2017-01-01 18:00:00,"2017","January"
"17",2017,1,1,19,129,54,2017-01-01 19:00:00,"2017","January"
"18",2017,1,1,20,134,53,2017-01-01 20:00:00,"2017","January"
"19",2017,1,1,21,141,56,2017-01-01 21:00:00,"2017","January"
"20",2017,1,1,22,135,45,2017-01-01 22:00:00,"2017","January"
"21",2017,1,1,23,125,39,2017-01-01 23:00:00,"2017","January"
"22",2017,1,2,0,123,43,2017-01-02 00:00:00,"2017","January"
"23",2017,1,2,1,121,42,2017-01-02 01:00:00,"2017","January"
"24",2017,1,2,2,121,44,2017-01-02 02:00:00,"2017","January"
"25",2017,1,2,3,119,41,2017-01-02 03:00:00,"2017","January"
"26",2017,1,2,4,123,48,2017-01-02 04:00:00,"2017","January"
"27",2017,1,2,5,128,50,2017-01-02 05:00:00,"2017","January"
"28",2017,1,2,6,128,47,2017-01-02 06:00:00,"2017","January"
"29",2017,1,2,7,131,50,2017-01-02 07:00:00,"2017","January"
"30",2017,1,2,8,129,46,2017-01-02 08:00:00,"2017","January"
"31",2017,1,2,9,129,48,2017-01-02 09:00:00,"2017","January"
"32",2017,1,2,10,136,56,2017-01-02 10:00:00,"2017","January"
"33",2017,1,2,11,136,50,2017-01-02 11:00:00,"2017","January"
"34",2017,1,2,12,129,40,2017-01-02 12:00:00,"2017","January"
"35",2017,1,2,13,125,41,2017-01-02 13:00:00,"2017","January"
"36",2017,1,2,14,105,30,2017-01-02 14:00:00,"2017","January"
"37",2017,1,2,15,92,27,2017-01-02 15:00:00,"2017","January"
"38",2017,1,2,16,92,31,2017-01-02 16:00:00,"2017","January"
"39",2017,1,2,17,87,27,2017-01-02 17:00:00,"2017","January"
"40",2017,1,2,18,88,30,2017-01-02 18:00:00,"2017","January"
"41",2017,1,2,19,91,33,2017-01-02 19:00:00,"2017","January"
"42",2017,1,2,20,92,32,2017-01-02 20:00:00,"2017","January"
"43",2017,1,2,21,96,35,2017-01-02 21:00:00,"2017","January"
"44",2017,1,2,22,94,32,2017-01-02 22:00:00,"2017","January"
"45",2017,1,2,23,90,27,2017-01-02 23:00:00,"2017","January"
"46",2017,1,3,0,93,35,2017-01-03 00:00:00,"2017","January"
"47",2017,1,3,1,91,30,2017-01-03 01:00:00,"2017","January"
"48",2017,1,3,2,88,26,2017-01-03 02:00:00,"2017","January"
"49",2017,1,3,3,86,26,2017-01-03 03:00:00,"2017","January"
"50",2017,1,3,4,91,37,2017-01-03 04:00:00,"2017","January"
"51",2017,1,3,5,92,32,2017-01-03 05:00:00,"2017","January"
"52",2017,1,3,6,99,41,2017-01-03 06:00:00,"2017","January"
"53",2017,1,3,7,103,39,2017-01-03 07:00:00,"2017","January"
"54",2017,1,3,8,107,41,2017-01-03 08:00:00,"2017","January"
"55",2017,1,3,9,105,35,2017-01-03 09:00:00,"2017","January"
"56",2017,1,3,10,85,20,2017-01-03 10:00:00,"2017","January"
"57",2017,1,3,11,81,24,2017-01-03 11:00:00,"2017","January"
"58",2017,1,3,12,74,20,2017-01-03 12:00:00,"2017","January"
"59",2017,1,3,13,68,17,2017-01-03 13:00:00,"2017","January"
"60",2017,1,3,14,61,14,2017-01-03 14:00:00,"2017","January"
"61",2017,1,3,15,63,19,2017-01-03 15:00:00,"2017","January"
"62",2017,1,3,16,68,22,2017-01-03 16:00:00,"2017","January"
"63",2017,1,3,17,75,27,2017-01-03 17:00:00,"2017","January"
"64",2017,1,3,18,70,19,2017-01-03 18:00:00,"2017","January"
"65",2017,1,3,19,67,18,2017-01-03 19:00:00,"2017","January"
"66",2017,1,3,20,65,18,2017-01-03 20:00:00,"2017","January"
"67",2017,1,3,21,61,15,2017-01-03 21:00:00,"2017","January"
"68",2017,1,3,22,76,31,2017-01-03 22:00:00,"2017","January"
"69",2017,1,3,23,76,24,2017-01-03 23:00:00,"2017","January"
"70",2017,1,4,0,76,24,2017-01-04 00:00:00,"2017","January"
"71",2017,1,4,1,77,25,2017-01-04 01:00:00,"2017","January"
"72",2017,1,4,2,80,27,2017-01-04 02:00:00,"2017","January"
"73",2017,1,4,3,93,39,2017-01-04 03:00:00,"2017","January"
"74",2017,1,4,4,120,54,2017-01-04 04:00:00,"2017","January"
"75",2017,1,4,5,134,55,2017-01-04 05:00:00,"2017","January"
"76",2017,1,4,6,135,50,2017-01-04 06:00:00,"2017","January"
"77",2017,1,4,7,130,45,2017-01-04 07:00:00,"2017","January"
"78",2017,1,4,8,112,33,2017-01-04 08:00:00,"2017","January"
"79",2017,1,4,9,108,37,2017-01-04 09:00:00,"2017","January"
"80",2017,1,4,10,99,31,2017-01-04 10:00:00,"2017","January"
"81",2017,1,4,11,81,18,2017-01-04 11:00:00,"2017","January"
"82",2017,1,4,12,64,10,2017-01-04 12:00:00,"2017","January"
"83",2017,1,4,13,58,13,2017-01-04 13:00:00,"2017","January"
"84",2017,1,4,14,61,18,2017-01-04 14:00:00,"2017","January"
"85",2017,1,4,15,61,17,2017-01-04 15:00:00,"2017","January"
"86",2017,1,4,16,60,16,2017-01-04 16:00:00,"2017","January"
"87",2017,1,4,17,55,12,2017-01-04 17:00:00,"2017","January"
"88",2017,1,4,18,63,21,2017-01-04 18:00:00,"2017","January"
"89",2017,1,4,19,62,17,2017-01-04 19:00:00,"2017","January"
"90",2017,1,4,20,64,19,2017-01-04 20:00:00,"2017","January"
"91",2017,1,4,21,63,18,2017-01-04 21:00:00,"2017","January"
"92",2017,1,4,22,60,15,2017-01-04 22:00:00,"2017","January"
"93",2017,1,4,23,64,20,2017-01-04 23:00:00,"2017","January"
"94",2017,1,5,0,62,16,2017-01-05 00:00:00,"2017","January"
"95",2017,1,5,1,72,27,2017-01-05 01:00:00,"2017","January"
"96",2017,1,5,2,72,22,2017-01-05 02:00:00,"2017","January"
"97",2017,1,5,3,74,24,2017-01-05 03:00:00,"2017","January"
"98",2017,1,5,4,77,26,2017-01-05 04:00:00,"2017","January"
"99",2017,1,5,5,66,14,2017-01-05 05:00:00,"2017","January"
"100",2017,1,5,6,65,18,2017-01-05 06:00:00,"2017","January"
"101",2017,1,5,7,65,19,2017-01-05 07:00:00,"2017","January"
"102",2017,1,5,8,65,19,2017-01-05 08:00:00,"2017","January"
"103",2017,1,5,9,61,15,2017-01-05 09:00:00,"2017","January"
"104",2017,1,5,10,62,18,2017-01-05 10:00:00,"2017","January"
"105",2017,1,5,11,61,16,2017-01-05 11:00:00,"2017","January"
"106",2017,1,5,12,63,19,2017-01-05 12:00:00,"2017","January"
"107",2017,1,5,13,65,20,2017-01-05 13:00:00,"2017","January"
"108",2017,1,5,14,73,27,2017-01-05 14:00:00,"2017","January"
"109",2017,1,5,15,73,22,2017-01-05 15:00:00,"2017","January"
"110",2017,1,5,16,72,22,2017-01-05 16:00:00,"2017","January"
"111",2017,1,5,17,70,20,2017-01-05 17:00:00,"2017","January"
"112",2017,1,5,18,59,11,2017-01-05 18:00:00,"2017","January"
"113",2017,1,5,19,54,11,2017-01-05 19:00:00,"2017","January"
"114",2017,1,5,20,47,9,2017-01-05 20:00:00,"2017","January"
"115",2017,1,5,21,54,16,2017-01-05 21:00:00,"2017","January"
"116",2017,1,5,22,74,32,2017-01-05 22:00:00,"2017","January"
"117",2017,1,5,23,89,38,2017-01-05 23:00:00,"2017","January"
"118",2017,1,6,0,85,26,2017-01-06 00:00:00,"2017","January"
"119",2017,1,6,1,81,25,2017-01-06 01:00:00,"2017","January"
"120",2017,1,6,2,82,27,2017-01-06 02:00:00,"2017","January"
"121",2017,1,6,3,81,26,2017-01-06 03:00:00,"2017","January"
"122",2017,1,6,4,84,29,2017-01-06 04:00:00,"2017","January"
"123",2017,1,6,5,81,25,2017-01-06 05:00:00,"2017","January"
"124",2017,1,6,6,77,23,2017-01-06 06:00:00,"2017","January"
"125",2017,1,6,7,72,20,2017-01-06 07:00:00,"2017","January"
"126",2017,1,6,8,71,21,2017-01-06 08:00:00,"2017","January"
"127",2017,1,6,9,70,20,2017-01-06 09:00:00,"2017","January"
"128",2017,1,6,10,67,19,2017-01-06 10:00:00,"2017","January"
"129",2017,1,6,11,65,17,2017-01-06 11:00:00,"2017","January"
